Number,Date,Time_code,Time,Name,ID_Type,Photo,LAT,LONG,S_F_R,Number,H_V,D_T_C
149,20/04/2009,1,09:37,LIZ,HEAD,IMG_0092,20.39521667,-87.31383333,F,,,
150,20/04/2009,1,09:37,ASTRO,HEAD,IMG_0093/94,20.39521667,-87.31383333,F,,,
152,20/04/2009,1,09:45,SPEEDY GONZALEZ,HEAD,IMG_0095,20.39533333,-87.31415,S,,,
153,20/04/2009,1,09:45,CHARLIE,HEAD,IMG_0096/97,20.39533333,-87.31415,F,,,
154,20/04/2009,1,09:48,LUNA LLENA,HEAD,IMG_0098,20.395,-87.3141,F,5,H,
155,20/04/2009,1,09:50,RATTY,HEAD,IMG_0099,20.3948,-87.31416667,F,9,H,C
159,20/04/2009,1,10:11,ANGEL,HEAD,IMG_0101,20.39486667,-87.31443333,F,,,
161,20/04/2009,2,12:50,ANGEL,HEAD,IMG_0102-4,20.3952,-87.31381667,S,,,
162,20/04/2009,2,12:53,JACK,HEAD,IMG_0105-7,20.3949,-87.31376667,F,1,V,
163,20/04/2009,2,13:05,ASTRO,CARAPACE,IMG_0108-12,20.3953,-87.31383333,S,,,
164,20/04/2009,2,13:15,CHARLIE,HEAD,IMG_0113,20.3949,-87.31403333,F,2,V,D
165,20/04/2009,2,13:25,QUE ONDA,HEAD,IMG_0116,20.3953,-87.31436667,F,1,,
166,20/04/2009,2,13:25,VEGAS,HEAD,IMG_0117,20.3953,-87.31436667,F,,,
167,20/04/2009,2,13:25,ZIGGY,HEAD,IMG_0118,20.3953,-87.31436667,F,4,V,
168,20/04/2009,2,13:25,RATTY,HEAD,IMG_0119,20.3953,-87.31423333,F,4,V,
169,20/04/2009,2,13:41,WOODY,HEAD,IMG_0120,20.3953,-87.31438333,F,,,
170,20/04/2009,2,13:41,SCAR,CARAPACE,IMG_0121,20.3953,-87.31438333,S,1,H,
172,20/04/2009,3,17:32,WINSTON,HEAD,IMG_0123-26,20.3942,-87.31345,F,,,
